id,film_id,sutradara_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,4
12,12,11
13,13,12
14,14,13
15,15,14
16,15,15
17,16,16
18,17,17
19,18,18
20,19,19
21,20,20
22,21,21
23,22,22
24,23,23
25,24,24
26,25,25
27,26,26
28,27,27
29,28,28
30,29,29
31,30,30
32,31,31
33,32,32
34,33,33
35,34,33
36,35,34
37,36,34
38,37,36
39,38,37
40,39,38
41,40,39
42,41,39
43,42,41
44,43,40
45,44,42
46,45,43
47,46,44
48,47,45
49,48,46
50,49,28
51,50,47
52,51,48
53,52,48
54,53,49
55,54,50
56,55,51
57,56,52
58,57,53
59,58,54
60,59,55
61,60,56
62,60,57
63,61,51
64,62,58
65,63,59
66,64,60
67,65,61
68,66,62
69,67,63
70,68,64
71,69,65
72,70,66
73,71,67
74,72,68
75,73,69
76,74,62
77,75,62
78,76,85
79,77,70
80,78,71
81,79,72
82,80,73
83,81,69
84,82,86
85,83,74
86,84,64
87,85,75
88,86,76
89,87,77
90,88,78
91,89,79
92,90,80
93,91,81
94,92,82
95,93,83
96,94,62
97,95,87
98,96,83
99,97,84
100,98,69
101,99,62
102,100,51
